query_id,pattern,corruption_level,excluded_spurious,n_flips_in_recall,n_candidates,n_necessary,n_discovered
1,0,2,False,2,38,0,2
2,0,2,False,2,38,0,2
3,0,2,False,2,38,0,2
4,0,3,False,3,57,0,3
5,0,3,False,3,57,0,5
6,0,3,True,,,,
7,0,4,False,4,76,0,5
8,0,4,False,4,76,0,4
9,0,4,False,4,76,0,4
10,1,2,False,2,38,0,2
11,1,2,False,2,38,0,2
12,1,2,False,2,38,0,2
13,1,3,False,3,57,0,3
14,1,3,False,3,57,0,4
15,1,3,False,3,57,0,3
16,1,4,False,4,76,0,4
17,1,4,False,4,76,0,4
18,1,4,True,,,,
19,2,2,False,2,38,0,2
20,2,2,False,2,38,0,2
21,2,2,False,2,38,0,2
22,2,3,False,3,57,0,3
23,2,3,False,3,57,0,3
24,2,3,False,3,57,0,3
25,2,4,False,4,76,0,4
26,2,4,False,4,76,0,4
27,2,4,False,4,76,0,4
