query_id,n_candidates,n_necessary,n_discovered,node_precision,node_recall,edge_precision,edge_recall
0,5120,28,18,0.917,0.846,0.889,0.571
1,5120,30,20,1.000,0.929,0.950,0.633
2,5120,28,17,0.923,0.923,0.824,0.500
3,5120,33,21,1.000,0.929,1.000,0.636
4,5120,27,16,0.917,0.846,0.875,0.519
5,5120,29,19,1.000,0.929,0.947,0.621
6,5120,28,20,0.917,0.846,0.900,0.643
7,5120,28,19,0.923,0.923,0.895,0.607
8,5120,30,20,1.000,0.929,0.900,0.600
9,5120,32,18,1.000,0.929,1.000,0.562
10,5120,28,20,0.929,1.000,0.850,0.607
11,5120,27,18,0.923,0.923,0.889,0.593
12,5120,35,20,1.000,0.929,1.000,0.571
13,5120,29,16,0.929,1.000,0.875,0.483
14,5120,28,17,0.923,0.923,0.882,0.536
15,5120,27,18,0.846,0.917,0.778,0.519
16,5120,28,19,0.917,0.846,0.895,0.607
17,5120,31,17,1.000,1.000,1.000,0.548
18,5120,32,20,1.000,1.000,1.000,0.625
19,5120,32,18,0.917,0.846,0.889,0.500
